Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Country,Latitude,Longitude,Customer City,Customer State,Customer Street,Customer Zipcode,Customer Segment
1,Richard,Hernandez,XXXXXXXXX,EE. UU.,25.95364761,-97.5076828,Brownsville,TX,6303 Heather Plaza,78521.0,Consumer
2,Mary,Barrett,XXXXXXXXX,EE. UU.,38.37559509,-104.7260208,Littleton,CO,9526 Noble Embers Ridge,80126.0,Consumer
3,Ann,Smith,XXXXXXXXX,Puerto Rico,18.02537537,-66.61508179,Caguas,PR,3422 Blue Pioneer Bend,725.0,Consumer
4,Mary,Jones,XXXXXXXXX,EE. UU.,33.67002106,-112.2470779,San Marcos,CA,8324 Little Common,92069.0,Consumer
5,Robert,Hudson,XXXXXXXXX,Puerto Rico,18.35910416,-66.07791138,Caguas,PR,10 Crystal River Mall ,725.0,Home Office
6,Mary,Smith,XXXXXXXXX,EE. UU.,40.87154007,-74.12263489,Passaic,NJ,3151 Sleepy Quail Promenade,7055.0,Consumer
7,Melissa,Wilcox,XXXXXXXXX,Puerto Rico,18.35909462,-66.07995606,Caguas,PR,9453 High Concession,725.0,Corporate
8,Megan,Smith,XXXXXXXXX,EE. UU.,34.02827454,-118.2391357,Lawrence,MA,3047 Foggy Forest Plaza,1841.0,Corporate
9,Mary,Perez,XXXXXXXXX,Puerto Rico,18.02528,-66.61306763,Caguas,PR,3616 Quaking Street,725.0,Consumer
10,Melissa,Smith,XXXXXXXXX,EE. UU.,38.47135925,-77.41419983,Stafford,VA,8598 Harvest Beacon Plaza,22554.0,Corporate
11,Mary,Huffman,XXXXXXXXX,Puerto Rico,18.02537537,-66.61508179,Caguas,PR,3169 Stony Woods,725.0,Consumer
12,Christopher,Smith,XXXXXXXXX,EE. UU.,25.91337204,-97.44564819,San Antonio,TX,5594 Jagged Embers By-pass,78227.0,Corporate
13,Mary,Baldwin,XXXXXXXXX,Puerto Rico,18.35908699,-66.07793427,Caguas,PR,7922 Iron Oak Gardens,725.0,Home Office
14,Katherine,Smith,XXXXXXXXX,EE. UU.,33.98892212,-118.0814438,Pico Rivera,CA,5666 Hazy Pony Square,90660.0,Corporate
15,Jane,Luna,XXXXXXXXX,EE. UU.,34.11307144,-117.508728,Fontana,CA,673 Burning Glen,92336.0,Corporate
16,Tiffany,Smith,XXXXXXXXX,Puerto Rico,18.29652023,-66.04867554,Caguas,PR,6651 Iron Port,725.0,Corporate
17,Mary,Robinson,XXXXXXXXX,EE. UU.,42.20061112,-83.24320984,Taylor,MI,1325 Noble Pike,48180.0,Consumer
18,Robert,Smith,XXXXXXXXX,EE. UU.,38.00925446,-122.1187134,Martinez,CA,2734 Hazy Butterfly Circle,94553.0,Consumer
19,Stephanie,Mitchell,XXXXXXXXX,Puerto Rico,18.35910606,-66.07789612,Caguas,PR,3543 Red Treasure Bay,725.0,Home Office
20,Mary,Ellis,XXXXXXXXX,EE. UU.,40.7571907,-74.02506256,West New York,NJ,4703 Old Route,7093.0,Consumer
21,William,Zimmerman,XXXXXXXXX,Puerto Rico,18.02520371,-66.61289215,Caguas,PR,3323 Old Willow Mall ,725.0,Consumer
22,Joseph,Smith,XXXXXXXXX,EE. UU.,40.80894089,-74.0328598,North Bergen,NJ,7740 Broad Fox Villas,7047.0,Corporate
23,Benjamin,Duarte,XXXXXXXXX,Puerto Rico,18.01836205,-66.61623383,San Juan,PR,8811 High Horse Impasse,921.0,Corporate
24,Mary,Smith,XXXXXXXXX,Puerto Rico,18.35124588,-65.96308899,Caguas,PR,9417 Emerald Towers,725.0,Home Office
25,Paul,Richardson,XXXXXXXXX,EE. UU.,33.67002106,-112.2470779,Peoria,AZ,318 Merry Creek Mountain,85345.0,Home Office
26,Johnny,Hood,XXXXXXXXX,EE. UU.,37.64143753,-121.8764877,Glenview,IL,9576 Middle Hills Round,60025.0,Consumer
27,Mary,Vincent,XXXXXXXXX,Puerto Rico,18.35900879,-66.07815552,Caguas,PR,1768 Sleepy Zephyr Place,725.0,Consumer
28,Timothy,Smith,XXXXXXXXX,EE. UU.,46.14056015,-122.9390869,Longview,WA,9366 Colonial Horse Close,98632.0,Consumer
29,Mary,Humphrey,XXXXXXXXX,EE. UU.,32.65819931,-97.40261078,Fort Worth,TX,2469 Blue Brook Crossing,76133.0,Consumer
30,Barbara,Smith,XXXXXXXXX,Puerto Rico,18.1464901,-66.54896545,Caguas,PR,2455 Merry Hollow,725.0,Home Office
31,Mary,Byrd,XXXXXXXXX,EE. UU.,35.13143921,-106.5452042,Albuquerque,NM,8259 Foggy Edge,87111.0,Consumer
32,Alice,Smith,XXXXXXXXX,Puerto Rico,18.2275734,-66.04343414,Caguas,PR,2082 Hidden Green,725.0,Corporate
33,Adam,Petersen,XXXXXXXXX,EE. UU.,36.95009995,-76.24848938,Norfolk,VA,9768 Noble Horse Heights,23503.0,Consumer
34,Mary,Smith,XXXXXXXXX,Puerto Rico,18.14657784,-66.27722168,Caguas,PR,3330 Easy Berry Range,725.0,Corporate
35,Margaret,Wright,XXXXXXXXX,EE. UU.,32.68920898,-97.39685059,Oceanside,CA,9456 Sleepy Jetty,92056.0,Consumer
36,Michelle,Carey,XXXXXXXXX,Puerto Rico,18.2275734,-66.04344177,Caguas,PR,6336 Fallen Village,725.0,Corporate
37,Virginia,Conrad,XXXXXXXXX,EE. UU.,36.94044876,-76.25640106,Norfolk,VA,6115 Indian Beacon Close,23503.0,Consumer
38,Mary,Smith,XXXXXXXXX,EE. UU.,30.24161911,-97.89144135,Opelousas,LA,2805 Crystal Moor,70570.0,Consumer
39,Juan,Mckinney,XXXXXXXXX,Puerto Rico,18.22408485,-66.04698181,Caguas,PR,7274 Blue Wagon  Villas,725.0,Consumer
40,Mary,Smith,XXXXXXXXX,EE. UU.,33.56687927,-117.7633209,Long Beach,CA,7358 Rocky Villas,90805.0,Consumer
41,Victoria,Mason,XXXXXXXXX,EE. UU.,40.67569351,-73.87450409,Brooklyn,NY,7869 Crystal View Villas,11230.0,Consumer
42,Ethan,Smith,XXXXXXXXX,EE. UU.,33.83944702,-118.1929245,Duluth,GA,7533 Thunder Wagon  Beach,30096.0,Consumer
43,Mary,Herring,XXXXXXXXX,Puerto Rico,18.27657318,-66.03531647,Caguas,PR,4575 Thunder Dale,725.0,Corporate
44,Howard,Smith,XXXXXXXXX,EE. UU.,38.30553055,-122.2734375,Napa,CA,1356 Easy Plaza,94558.0,Corporate
45,Mary,Nunez,XXXXXXXXX,EE. UU.,39.71010208,-105.0270767,Denver,CO,1229 Bright Robin Corners,80231.0,Consumer
46,Jennifer,Smith,XXXXXXXXX,EE. UU.,33.06581879,-97.36239624,Freeport,NY,5463 Rocky Autoroute,11520.0,Consumer
47,Lori,Fuller,XXXXXXXXX,Puerto Rico,18.22754669,-66.04360199,Caguas,PR,357 Noble Lane,725.0,Home Office
48,Mary,Cowan,XXXXXXXXX,EE. UU.,41.34735107,-81.83055115,Strongsville,OH,1040 Hazy Timber Lookout,44136.0,Consumer
49,Martha,Smith,XXXXXXXXX,Puerto Rico,18.25029564,-66.07608795,Caguas,PR,7449 Merry Chase,725.0,Consumer
50,Mary,Kim,XXXXXXXXX,EE. UU.,33.61837387,-117.1344681,San Bernardino,CA,938 Rustic Pine Ridge,92410.0,Consumer
51,Jessica,Smith,XXXXXXXXX,Puerto Rico,18.22563362,-66.04745483,Caguas,PR,8344 Dewy Fawn Farms,725.0,Home Office
52,Mary,Lawson,XXXXXXXXX,EE. UU.,41.89083099,-87.63043213,Chicago,IL,65 Silent Inlet,60622.0,Corporate
53,Katherine,Smith,XXXXXXXXX,EE. UU.,34.05915451,-84.35758209,Roswell,GA,975 Honey Loop,30075.0,Corporate
54,Mary,Olson,XXXXXXXXX,Puerto Rico,18.02538109,-66.61508179,Caguas,PR,7333 Cinder Way,725.0,Home Office
55,Janet,Farley,XXXXXXXXX,EE. UU.,33.81112289,-112.0818558,Phoenix,AZ,6512 Middle Parade,85029.0,Home Office
56,Mary,Kaiser,XXXXXXXXX,Puerto Rico,18.1464901,-66.57675934,Caguas,PR,7554 Stony Goose Crossing,725.0,Consumer
57,Mary,Smith,XXXXXXXXX,EE. UU.,39.28894043,-76.60325623,Baltimore,MD,57 High Villas,21229.0,Consumer
58,Michael,Edwards,XXXXXXXXX,Puerto Rico,18.22563362,-66.04745483,Caguas,PR,4770 Blue Pines,725.0,Consumer
59,Douglas,James,XXXXXXXXX,EE. UU.,37.38236237,-122.0837021,Sunnyvale,CA,2306 Green Lane,94086.0,Consumer
60,Mary,Gutierrez,XXXXXXXXX,EE. UU.,37.77796936,-121.9719162,Webster,NY,8632 Bright Route,14580.0,Home Office
61,Margaret,Summers,XXXXXXXXX,Puerto Rico,18.1464901,-66.54896545,Caguas,PR,8963 Hidden Panda Meadow,725.0,Home Office
62,Mary,Oneal,XXXXXXXXX,EE. UU.,43.10412979,-77.1641922,Brooklyn,NY,2659 Jagged Rabbit View,11223.0,Consumer
63,Aaron,Smith,XXXXXXXXX,Puerto Rico,18.2275734,-66.04562378,Caguas,PR,2265 Foggy Lagoon Bend,725.0,Home Office
64,Mary,Reynolds,XXXXXXXXX,EE. UU.,41.91633987,-87.63731384,Chicago,IL,2407 Gentle Woods,60647.0,Corporate
65,Jennifer,Smith,XXXXXXXXX,EE. UU.,40.80894089,-74.0328598,Princeton,NJ,7126 Shady Bluff Promenade,8540.0,Consumer
66,Mary,Booth,XXXXXXXXX,Puerto Rico,18.21450234,-66.0867157,Caguas,PR,8824 Noble View Valley,725.0,Home Office
67,Samantha,Smith,XXXXXXXXX,EE. UU.,29.50356865,-98.58555603,Chicago,IL,7869 Wishing Anchor Court,60619.0,Corporate
68,Mary,Oneal,XXXXXXXXX,EE. UU.,33.09320068,-117.1668167,Peoria,AZ,376 Silver Terrace,85345.0,Consumer
69,Megan,Smith,XXXXXXXXX,Puerto Rico,18.22368431,-66.04928589,Caguas,PR,7796 Thunder Forest Villas,725.0,Consumer
70,Mary,Simmons,XXXXXXXXX,EE. UU.,33.73583221,-118.2922211,Los Angeles,CA,5553 Cinder Harbour,90042.0,Corporate
